"","GeneName","UniProt","Protein_name","Reference","STRING_id"
"2","Hspa8","P63018","Heat shock cognate 71 kDa protein","PMID:  31405203","9606.ENSP00000432083"
"3","Flot1","Q9Z1E1","Flotillin-1","PMID:  31405203","9606.ENSP00000365569"
"5","Atp5f1b","P10719","ATP synthase subunit beta, mitochondrial","PMID:  31405203","9606.ENSP00000262030"
"6","Vdac1","Q9Z2L0","Voltage-dependent anion-selective channel protein 1","PMID:  31405203","9606.ENSP00000265333"
"8","Phb","P67779","Prohibitin","PMID:  31405203","9606.ENSP00000479488"
"9","Actb","P60711","Actin cytoplasmic 1","PMID:  31405203","9606.ENSP00000349960"
"12","Flot2","Q9Z2S9","Flotillin-2","PMID:  31405203","9606.ENSP00000378368"
"14","Vdac2","P81155","Voltage-dependent anion-selective channel protein 2","PMID:  31405203","9606.ENSP00000361635"
"15","Atp1a1","P06685","Sodium/potassium-transporting ATPase subunit alpha-1","PMID:  31405203","9606.ENSP00000445306"
"18","Gapdh","P04797","Glyceraldehyde-3-phosphate dehydrogenase","PMID:  31405203","9606.ENSP00000229239"
"19","Gnb1","P54311","Transducin beta-1","PMID:  31405203","9606.ENSP00000481878"
"22","Anxa2","Q07936","Annexin A2","PMID:  31405203","9606.ENSP00000346032"
"24","Gnai2","P04897","Guanine nucleotide-binding protein G(i) subunit alpha-2","PMID:  31405203","9606.ENSP00000312999"
"25","Hspa5","P06761","Endoplasmic reticulum chaperone BiP","PMID:  31405203","9606.ENSP00000324173"
"27","Canx","P35565","Calnexin","PMID:  31405203","9606.ENSP00000247461"
"30","Myh9","G3V6P7","Myosin heavy chain 9","PMID:  31405203","9606.ENSP00000216181"
"32","Vim","P31000","Vimentin","PMID:  31405203","9606.ENSP00000446007"
"33","Rab7a","P09527","Ras-related protein Rab-7a","PMID:  31405203","9606.ENSP00000265062"
"34","Bsg","P26453","Basigin","PMID:  31405203","9606.ENSP00000333769"
"36","Atp6v1a","D4A133","V-type proton ATPase catalytic subunit A","PMID:  31405203","9606.ENSP00000273398"
"37","Ywhaz","P63102","14-3-3 protein zeta/delta","PMID:  31405203","9606.ENSP00000379287"
"39","Cltc","P11442","Clathrin heavy chain 1","PMID:  31405203","9606.ENSP00000479606"
"42","Stom","Q5XI04","Erythrocyte band 7 integral membrane protein","PMID:  31405203","9606.ENSP00000286713"
"43","Gnb2","P54313","Transducin beta-2","PMID:  31405203","9606.ENSP00000305260"
"46","Erlin2","B5DEH2","Erlin-2","PMID:  31405203","9606.ENSP00000276461"
"47","Snap23","O70377","Synaptosomal-associated protein 23 (SNAP-23)","PMID:  31405203","9606.ENSP00000249647"
"49","Uqcrc2","P32551","Cytochrome b-c1 complex subunit 2, mitochondrial","PMID:  31405203","9606.ENSP00000268379"
"51","Phb2","Q5XIH7","Prohibitin 2","PMID:  31405203","9606.ENSP00000441875"
"52","LSP1","P33241","Lymphocyte‑specific protein 1","DOI: 10.4172/jpb.S7-005","9606.ENSP00000371194"
"53","RAC2","B1AH80","Ras‑related C3 botulinum toxin substrate 2","DOI: 10.4172/jpb.S7-005","9606.ENSP00000249071"
"54","PPP1R9B","Q96SB3","Neurabin II","DOI: 10.4172/jpb.S7-005","9606.ENSP00000478767"
