"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","logAdjP","Category","category","subcategory"
"GO:1902600","GO:1902600","proton transmembrane transport","51/622","192/18860",0.265625,8.05415996784566,18.1431603600551,5.88507719040068e-32,1.05428965145898e-28,8.36846221898384e-29,"TCIRG1/PHB2/SLC25A5/ATP1A4/ATP1B1/ATP4A/ATP6V0C/ATP6V0D1/ATP6V1B1/ATP6V1B2/ATP6V1E1/COX4I1/COX5B/COX7A2L/CYC1/GHITM/MT-CO1/MT-CO2/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA10/NDUFA12/NDUFA2/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC2/NDUFS1/NDUFS3/NDUFS4/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NNT/SLC25A13/SLC25A27/SLC25A3/UQCRC1/UQCRFS1/ATP1A1",51,27.9770400563449,"BP",NA,NA
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","39/622","100/18860",0.39,11.8254019292605,20.0444216483856,6.95136033928999e-32,1.05428965145898e-28,8.36846221898384e-29,"COX4I1/COX5B/COX7A2L/CYC1/GHITM/MTCH2/MT-CO1/MT-CO2/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA10/NDUFA12/NDUFA2/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC2/NDUFS1/NDUFS3/NDUFS4/NDUFS7/NDUFS8/NDUFV1/NDUFV2/SDHA/SDHB/UQCRC1/UQCRFS1/UQCRQ",39,27.9770400563449,"BP",NA,NA
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","39/622","100/18860",0.39,11.8254019292605,20.0444216483856,6.95136033928999e-32,1.05428965145898e-28,8.36846221898384e-29,"COX4I1/COX5B/COX7A2L/CYC1/GHITM/MTCH2/MT-CO1/MT-CO2/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA10/NDUFA12/NDUFA2/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC2/NDUFS1/NDUFS3/NDUFS4/NDUFS7/NDUFS8/NDUFV1/NDUFV2/SDHA/SDHB/UQCRC1/UQCRFS1/UQCRQ",39,27.9770400563449,"BP",NA,NA
"GO:0022904","GO:0022904","respiratory electron transport chain","40/622","115/18860",0.347826086956522,10.5466237942122,18.9636496532021,2.25019150232306e-30,2.55959283389248e-27,2.03168606433432e-27,"PLEC/COX4I1/COX5B/COX7A2L/CYC1/GHITM/MTCH2/MT-CO1/MT-CO2/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA10/NDUFA12/NDUFA2/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC2/NDUFS1/NDUFS3/NDUFS4/NDUFS7/NDUFS8/NDUFV1/NDUFV2/SDHA/SDHB/UQCRC1/UQCRFS1/UQCRQ",40,26.5918291143981,"BP",NA,NA
"GO:0022900","GO:0022900","electron transport chain","41/622","125/18860",0.328,9.94546623794212,18.5309231776817,6.21904121959795e-30,5.65932750983413e-27,4.49211166830327e-27,"PLEC/COX4I1/COX5B/COX7A2L/CYC1/GHITM/MTCH2/MT-CO1/MT-CO2/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA10/NDUFA12/NDUFA2/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC2/NDUFS1/NDUFS3/NDUFS4/NDUFS7/NDUFS8/NDUFV1/NDUFV2/SDHA/SDHB/UQCRC1/UQCRFS1/UQCRQ/POR",41,26.2472351723665,"BP",NA,NA
"GO:0019646","GO:0019646","aerobic electron transport chain","36/622","93/18860",0.387096774193548,11.7373716419459,19.1693748248697,2.21790426112346e-29,1.68191073135196e-26,1.33502272279204e-26,"COX4I1/COX5B/COX7A2L/CYC1/MT-CO1/MT-CO2/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA10/NDUFA2/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC2/NDUFS1/NDUFS3/NDUFS4/NDUFS7/NDUFS8/NDUFV1/NDUFV2/SDHA/SDHB/UQCRC1/UQCRFS1/UQCRQ",36,25.7741970584252,"BP",NA,NA
"GO:0002181","GO:0002181","cytoplasmic translation","49/622","208/18860",0.235576923076923,7.14305589908484,16.4520245246385,4.04996132216119e-28,2.63247485940477e-25,2.0895364355391e-25,"RPL7A/RPL13/RPL14/RPL15/RPL18A/RPL23A/RPL3/RPLP2/RPS14/RPS4X/RPS5/RPS6/RPS8/DHX36/DHX9/EEF1D/EEF2/EIF2S3/EIF3B/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF4A1/FXR1/PABPC1/RPL10A/RPL11/RPL12/RPL30/RPL5/RPL9/RPLP0/RPS12/RPS15A/RPS16/RPS17/RPS2/RPS20/RPS21/RPS27A/RPS3/RPS3A/RPS9/RPSA/SYNCRIP/YWHAG",49,24.5796357677109,"BP",NA,NA
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","54/622","264/18860",0.204545454545455,6.20213387898275,15.71953287615,1.26957521352643e-27,7.22070902693156e-25,5.73146389159102e-25,"GNAI3/HSPA8/GAPDH/VCP/P2RX7/ABCC6/ATP1B1/ATP6V0C/ATP6V1B1/ATP6V1B2/ENPP1/ENPP3/NME2/NT5E/SLC4A4/STOML2/MTCH2/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA10/NDUFA12/NDUFA2/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC2/NDUFS1/NDUFS3/NDUFS4/NDUFS7/NDUFS8/NDUFV1/NDUFV2/SDHA/SDHB/SLC25A13/ALDOB/EIF6/ENO1/HSPA1A/HSPA1B/IMPDH2/PARP1/PPP2CA",54,24.1414201554269,"BP",NA,NA
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","54/622","271/18860",0.199261992619926,6.04193115886143,15.4390104188579,4.95939146758299e-27,2.5072479086114e-24,1.9901370906757e-24,"GNAI3/HSPA8/GAPDH/VCP/P2RX7/ABCC6/ATP1B1/ATP6V0C/ATP6V1B1/ATP6V1B2/ENPP1/ENPP3/NME2/NT5E/SLC4A4/STOML2/MTCH2/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA10/NDUFA12/NDUFA2/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC2/NDUFS1/NDUFS3/NDUFS4/NDUFS7/NDUFS8/NDUFV1/NDUFV2/SDHA/SDHB/SLC25A13/ALDOB/EIF6/ENO1/HSPA1A/HSPA1B/IMPDH2/PARP1/PPP2CA",54,23.6008027222767,"BP",NA,NA
"GO:0046034","GO:0046034","ATP metabolic process","51/622","241/18860",0.211618257261411,6.41659217355339,15.6286836387102,7.1753272348873e-27,3.26477389187372e-24,2.59142607819982e-24,"HSPA8/GAPDH/VCP/P2RX7/ABCC6/ATP1B1/ATP6V0C/ATP6V1B1/ATP6V1B2/ENPP1/ENPP3/NT5E/SLC4A4/STOML2/MTCH2/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA10/NDUFA12/NDUFA2/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC2/NDUFS1/NDUFS3/NDUFS4/NDUFS7/NDUFS8/NDUFV1/NDUFV2/SDHA/SDHB/SLC25A13/ALDOB/EIF6/ENO1/HSPA1A/HSPA1B/PARP1/PPP2CA",51,23.4861468912379,"BP",NA,NA
