"from","to","combined_score","EdgeBetweenness"
"9606.ENSP00000000412","9606.ENSP00000349437",979,13.2726335944116
"9606.ENSP00000000412","9606.ENSP00000350199",773,7.07088649056854
"9606.ENSP00000000412","9606.ENSP00000273047",610,12.8243867038019
"9606.ENSP00000000412","9606.ENSP00000247461",535,48.3358743642825
"9606.ENSP00000000412","9606.ENSP00000265062",632,20.1066133425859
"9606.ENSP00000000412","9606.ENSP00000327694",622,12.5929349458914
"9606.ENSP00000000412","9606.ENSP00000447730",446,17.8664612097079
"9606.ENSP00000000412","9606.ENSP00000353224",788,25.0381549578369
"9606.ENSP00000000412","9606.ENSP00000369081",608,8.27366189631931
"9606.ENSP00000000412","9606.ENSP00000479606",748,34.7329369768601
"9606.ENSP00000000412","9606.ENSP00000259253",467,16.3688709021423
"9606.ENSP00000000412","9606.ENSP00000054666",762,7.48484206157477
"9606.ENSP00000000412","9606.ENSP00000236671",806,15.0885383303659
"9606.ENSP00000000412","9606.ENSP00000432083",687,106.875220325921
"9606.ENSP00000000412","9606.ENSP00000258301",463,8.39721377743214
"9606.ENSP00000000412","9606.ENSP00000320866",422,37.4016693657074
"9606.ENSP00000000412","9606.ENSP00000466298",757,23.3315629685119
"9606.ENSP00000000412","9606.ENSP00000263354",724,8.46325639702947
"9606.ENSP00000005257","9606.ENSP00000278572",655,50.3191066055767
"9606.ENSP00000005257","9606.ENSP00000264071",609,10.4213161169257
"9606.ENSP00000005257","9606.ENSP00000249647",752,24.0464556244707
"9606.ENSP00000005257","9606.ENSP00000353590",664,8.82983763445875
"9606.ENSP00000005257","9606.ENSP00000216181",937,11.2674633826534
"9606.ENSP00000005257","9606.ENSP00000352834",987,7.57154590873537
"9606.ENSP00000005257","9606.ENSP00000256078",928,19.9904381327484
"9606.ENSP00000005257","9606.ENSP00000264710",933,10.8734595273214
"9606.ENSP00000005257","9606.ENSP00000275493",491,64.8136872281346
"9606.ENSP00000005257","9606.ENSP00000358866",917,12.5811491553327
"9606.ENSP00000005257","9606.ENSP00000342793",994,12.5874407714475
"9606.ENSP00000005257","9606.ENSP00000272519",904,9.04902506621924
"9606.ENSP00000005257","9606.ENSP00000335153",554,72.6955841804754
"9606.ENSP00000005257","9606.ENSP00000249071",887,16.6359105591239
"9606.ENSP00000005257","9606.ENSP00000418447",469,13.2635064299594
"9606.ENSP00000005257","9606.ENSP00000354687",552,48.2804539514846
"9606.ENSP00000005257","9606.ENSP00000348461",924,13.6681795338481
"9606.ENSP00000005257","9606.ENSP00000298316",779,12.2691940654337
"9606.ENSP00000005257","9606.ENSP00000358548",926,16.4514597052929
"9606.ENSP00000007722","9606.ENSP00000349960",730,100.091523881404
"9606.ENSP00000007722","9606.ENSP00000347665",711,10.4094297022494
"9606.ENSP00000007722","9606.ENSP00000368678",755,11.6879149395254
"9606.ENSP00000007722","9606.ENSP00000320866",838,47.7129313754142
"9606.ENSP00000007722","9606.ENSP00000363827",554,15.3338166271109
"9606.ENSP00000007722","9606.ENSP00000379350",999,12.2469501547481
"9606.ENSP00000007722","9606.ENSP00000442600",507,10.9440450754162
"9606.ENSP00000007722","9606.ENSP00000333769",735,13.5205742127227
"9606.ENSP00000007722","9606.ENSP00000275493",954,56.2888467856903
"9606.ENSP00000007722","9606.ENSP00000420213",716,31.0957797158822
"9606.ENSP00000007722","9606.ENSP00000388325",934,14.0900295904866
"9606.ENSP00000007722","9606.ENSP00000252999",980,16.2640444876052
"9606.ENSP00000007722","9606.ENSP00000316029",810,10.685835002461
"9606.ENSP00000007722","9606.ENSP00000422607",430,93.253978254691
"9606.ENSP00000007722","9606.ENSP00000358866",716,13.2449580667081
"9606.ENSP00000007722","9606.ENSP00000327145",729,13.6846533374427
"9606.ENSP00000007722","9606.ENSP00000273047",465,16.53828731174
"9606.ENSP00000007722","9606.ENSP00000351209",829,11.4211920391895
"9606.ENSP00000007722","9606.ENSP00000252699",774,11.1094420137648
