"","GeneName","UniProt","Protein_name"
"1","Hspa8","P63018","Heat shock cognate 71 kDa protein"
"2","Flot1","Q9Z1E1","Flotillin-1"
"3","Atp5f1b","P10719","ATP synthase subunit beta, mitochondrial"
"4","Vdac1","Q9Z2L0","Voltage-dependent anion-selective channel protein 1"
"5","Phb","P67779","Prohibitin"
"6","Actb","P60711","Actin cytoplasmic 1"
"7","Flot2","Q9Z2S9","Flotillin-2"
"8","Vdac2","P81155","Voltage-dependent anion-selective channel protein 2"
"9","Atp1a1","P06685","Sodium/potassium-transporting ATPase subunit alpha-1"
"10","Gapdh","P04797","Glyceraldehyde-3-phosphate dehydrogenase"
"11","Gnb1","P54311","Transducin beta-1"
"12","Anxa2","Q07936","Annexin A2"
"13","Gnai2","P04897","Guanine nucleotide-binding protein G(i) subunit alpha-2"
"14","Hspa5","P06761","Endoplasmic reticulum chaperone BiP"
"15","Canx","P35565","Calnexin"
"16","Myh9","G3V6P7","Myosin heavy chain 9"
"17","Vim","P31000","Vimentin"
"18","Rab7a","P09527","Ras-related protein Rab-7a"
"19","Bsg","P26453","Basigin"
"20","Atp6v1a","D4A133","V-type proton ATPase catalytic subunit A"
"21","Ywhaz","P63102","14-3-3 protein zeta/delta"
"22","Cltc","P11442","Clathrin heavy chain 1"
"23","Stom","Q5XI04","Erythrocyte band 7 integral membrane protein"
"24","Gnb2","P54313","Transducin beta-2"
"25","Erlin2","B5DEH2","Erlin-2"
"26","Snap23","O70377","Synaptosomal-associated protein 23 (SNAP-23)"
"27","Uqcrc2","P32551","Cytochrome b-c1 complex subunit 2, mitochondrial"
"28","Phb2","Q5XIH7","Prohibitin 2"
"29","LSP1","P33241","Lymphocyte‑specific protein 1"
"30","RAC2","B1AH80","Ras‑related C3 botulinum toxin substrate 2"
"31","PPP1R9B","Q96SB3","Neurabin II"
"32","GPSM3","Q9Y4H4","G‑protein‑signaling modulator 3"
"33","CAMK2G","Q8WU40","Ca²⁺/calmodulin‑dependent protein kinase II γ"
"34","RAB1C","Q92928","Putative Ras‑related protein Rab‑1C"
"35","SHKBP1","Q8TBC3","SH3KBP1‑binding protein 1"
"36","CAP1","Q01518","Adenylyl cyclase‑associated protein 1"
"37","ST6GAL1","P15907","β‑galactoside α‑2,6‑sialyltransferase 1 (CD75)"
"38","SIPA1","Q96FS4","Signal‑induced proliferation‑associated protein 1"
"39","HS2ST1","Q7LGA3","Heparan sulfate 2‑O‑sulfotransferase 1"
"40","GNG11","P61952","G protein γ‑11 subunit"
"41","SPARC","P09486","Basement‑membrane protein 40"
"42","IFI30","P13284","IFN‑γ‑inducible lysosomal thiol reductase"
